id;categorie;actualisation;ouvert;nom;type_de_commerce;adresse;cp;ville;tel;tel_portable;mail;ouverture;localisation
100790.0;Alimentaire;26 mars 10h00;Oui;Boucherie de Joppet;Boucherie;131 avenue de Turin;73000.0;Chambéry;04 79 33 06 39;;boucheriedejoppet@hotmail.fr;Mardi, jeudi et vendredi de 8h à 12h30 et de 15h30 à 19h30. Lundi, mercredi et dimanche de 8h à 12h30;45.569319,5.931782
101123.0;Alimentaire;26 mars 10h00;Oui;Boucherie du Sud;Boucherie;211 avenue d'Annecy;73000.0;Chambéry;04 79 85 83 55;;;Du mardi au vendredi de 8h à 12h30 et de 15h à 19h30. Le samedi de 8h à 13h;45.588644,5.917583
100380.0;Alimentaire;8-avr.;Oui;Boucherie du Faubourg;Boucherie;17 faubourg Montmélian;73000.0;Chambéry;04 79 33 59 18;;;Tous les jours de 9h30 à 17h00;45.566118,5.926229
100785.0;Alimentaire;26 mars 10h00;Oui;Boucherie Elfathe;Boucherie;533 faubourg Montmélian;73000.0;Chambéry;04 79 85 32 31;;;Du lundi au jeudi de 8h à 16h. Vendredi et samedi de 8h à 19h;45.566311,5.933014
101527.0;Alimentaire;;Oui;La Boucherie du Sénat;Boucherie;8 rue du Sénat de Savoie;73000.0;Chambéry;04 79 84 53 26;;;Du mardi au vendredi de 7h45 à 12h30 et de 15h à 19h30, le samedi de 7h45 à 13h et de 15h à 19h30. Le dimanche de 8h à 13h;45.565847,5.919845
;Alimentaire;2020-03-27 00:00:00;Oui;Boucherie Chabry Gilles;Boucherie;5 rue de la Bathie;73230.0;Saint-Alban-Leysse;04 79 85 83 55;;;Du mardi au vendredi de 8h à 12h30 et de 15h à 19h30. Le samedi de 8h à 13h;45.577226,5.978391
;Alimentaire;2020-03-27 00:00:00;Oui;Boucherie Smeers;Boucherie;548 rue du Granier;73230.0;Saint-Alban-Leysse;04 79 33 40 04;;;Du mardi au samedi de 7h à 12h30 et de 15h à 19h. Le dimanche de 9h à 12h30;45.577897,5.950983
;Alimentaire;2020-03-27 00:00:00;Oui;Boucherie du Granier;Boucherie;290 chemin du Verger;73190.0;Saint-Baldoph;04 79 28 37 67;;;Lundi de 8h30 à 12h30. Du mardi au samedi de 7h30 à 13h et de 15h30 à 19h30. Le dimanche de 8h30 à 12h;45.532966,5.955819
100779.0;Alimentaire;;Oui;Votre Bouch Rie;Boucherie;13 avenue Jean Jaurès;73000.0;Chambéry;04 79 62 14 17;06 14 23 25 48;;Du mardi au samedi de 6h à 12h45 et de 15h15 à 19h. Le dimanche de 9h à 12h.;45.567917,5.913189
;Alimentaire;1-avr.;Oui;Chal'Gourmande;Boulangerie;1361 place de l'Europe;73190.0;Challes-les-Eaux;04 79 72 82 69;;ric.culaz@yahoo.fr;Tous les jours (sauf le mardi) de 6h30 à 12h30 et de 15h à 18h45;45.548813,5.985459
